n,k,m,distance
5,3,26,4.4378385
5,3,27,4.4889375
5,3,28,4.532922
5,3,29,4.5720575
5,3,30,4.621263
5,4,1,1.026389
5,4,2,1.3687935
5,4,3,1.5754465
5,4,4,1.7267325
5,4,5,1.873057
5,4,6,2.0161595
5,4,7,2.152238
5,4,8,2.284098
5,4,9,2.4108585
5,4,10,2.536965
5,4,11,2.645778
5,4,12,2.7598465
5,4,13,2.8707435
5,4,14,2.970492
5,4,15,3.070693
5,4,16,3.1676415
5,4,17,3.2545575
5,4,18,3.3397405
5,4,19,3.418024
5,4,20,3.512072
5,4,21,3.5827425
5,4,22,3.6593715
5,4,23,3.728555
5,4,24,3.783331
5,4,25,3.848335
5,4,26,3.8958235
5,4,27,3.964305
5,4,28,4.0184795
5,4,29,4.060678
5,4,30,4.1246075
5,5,1,1.026389
5,5,2,1.352104
5,5,3,1.540623
5,5,4,1.67094
5,5,5,1.785534
5,5,6,1.8959135
5,5,7,1.999927
5,5,8,2.1011345
5,5,9,2.1936235
5,5,10,2.2938005
5,5,11,2.386939
5,5,12,2.4777635
5,5,13,2.5602715
5,5,14,2.650386
5,5,15,2.7259965
5,5,16,2.8129825
5,5,17,2.8906645
5,5,18,2.958175
5,5,19,3.0330095
5,5,20,3.110539
5,5,21,3.1751405
5,5,22,3.243641
5,5,23,3.316416
5,5,24,3.3693335
5,5,25,3.4428205
5,5,26,3.4906825
5,5,27,3.554258
5,5,28,3.6031335
5,5,29,3.6543575
5,5,30,3.709792
5,6,1,1.026389
5,6,2,1.347764
5,6,3,1.5302965
5,6,4,1.6479
5,6,5,1.7479355
5,6,6,1.833779
5,6,7,1.9207645
5,6,8,2.0067675
5,6,9,2.0775555
5,6,10,2.1591935
5,6,11,2.225235
5,6,12,2.30883
5,6,13,2.3762995
5,6,14,2.4456945
5,6,15,2.517965
5,6,16,2.58074
5,6,17,2.647619
5,6,18,2.7111375
5,6,19,2.783672
5,6,20,2.850896
5,6,21,2.911664
5,6,22,2.968133
5,6,23,3.0333925
5,6,24,3.087762
5,6,25,3.1471705
5,6,26,3.193376
5,6,27,3.2539665
5,6,28,3.299144
